Cohort,Business Name,Reporting Month,Monthly Sales (R),Monthly Net Profit,Total Jobs,Female Jobs,Youth Jobs,Educ Jobs Total,Educ Jobs Female,Total Subscribers Students,Total Subscribers Teachers,New Subscribers Students,New Subscribers Teachers,Community Learners,Community Educators,Active Students,Active Teachers,Female Students,Female Teachers,Rural Students,Rural Teachers,Disability Students,Disability Teachers,Total Schools,SA Schools,Q1-3 Schools,Grants Value,Grant Funder,Income Statement,Created Time
Cohort 1,Click Learning,Report 6 - September 2023,5263670.0,-4218974.0,65.0,42.0,41.0,873,650,226670,0,6740,0,0,0,116473.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attLRfpLcNAtPLnMA', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/gQretGSreSg9zkT4KSZy8g/mUhO5K37bCN9pBzXr72zawGSM0oME93t6rw1Fc9YEQar2eXZ2WHXsqznxpZocHYs4LauJTwGi8n2f59ELScDukNmEi4eDhjkQ1dbu7ys7CNGTPwX2oXQAGCoDhT884HRI7owcVdbormoF_qbZhZBSViBhaPnmb-tG35v4ADp2dDTF9WY_68tNqdYdtwjaTWb0lhWI_KhWFz12doOB6dyzx2Je9xyi1694nzRV0njhns/EjoBBwfUgJ4CiQ1tu7g-ldN0qsnZPI60YniSEdP7mgs', 'filename': 'Click_Learning_-_Budget_vs_Actual_Consol_PL__external_Injini__ September 2023.xlsx', 'size': 11796, 'type': 'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/Z4fV9h0fo5y6h2-r4Cpryw/IJXx-34Zsyk2pnGdxIiIAtFf0SW0WZcDwAbbpPGCuOd5KgGC-VL2C9a8QnJ2Rr3qjoE_MNV-8u2DQRfW-ZIr2oKHx3chrq9nbOcE-Vk16Rrqu43V86YcTs6oKBJxKzp9nRqn1HWHoMfQIBCthq_kSg/NJKYLZhPcwlJDTDEXqax8zJLG_n2H0caHs0F-iEXpxQ', 'width': 32, 'height': 32}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/5jrEcrtv2TnRhuO8Q9hwEw/Sfe-PKVtBYuKcnSuqwVQYOH9VKhPGl6OtZX70mc3p1yf65EhPfXuUQR77yenKDi4K9tusvjljvhcapvpWjI6LFFKx2zY_r1EI6XQpdZzX3_IqsCTUqleyPVZu1mlRn92bbJMGHCEwOrqWz6U-zO2_Q/NZOEt6XV6n-foxzdjsQXbseb1Za6olfJsyM78FaPKjE', 'width': 320, 'height': 226}}}",2023-10-20T16:25:47.000Z
Cohort 1,Digify,Report 5 - August 2023,0.0,-298375.9,6.0,4.0,1.0,0,0,111115,274645,1663,4503,0,0,1630.0,4503,71.7,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attb0WFbgmdDZkOsb', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/7guW1XMjzhPJsN8m1tUr6A/SonbOAfOoDNHi-GQizR15ancJ0A1T9ZeEk1JLi87l4iHJiilD0rNCz76TkkvEyjBbJ9af33ncwWwVofDAc3Ay7G_MQK4mei3IssYdp3zTCdVy7Q83aN6tyE9zsdVn1fn4dLZuZpSpQmYCztMhvUirQ/lgFLTXs3guR-v-YFwrYe_FK-uUl7U2gCoQADHOoAnC0', 'filename': 'Profit & Loss August.pdf', 'size': 18871, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/iAzkPAyIZ_fBBVnHbtSF7A/YBpleqLbk2D1xnYSG6d3e0fzUdGujvnrx2LZxWUb_fOcKs6Mgd1N7GduYkzg426SWC9yYurqxCYGe7854y22vtXS2xC7XQf4MkYnKxOZZ0WldUESxj5oiYcIdMHsOCPyEFOczWPDKKw2f3TagYNVHA/xjLEgyAxsu4WOBXonenauJyIh9rG492W936HKzgbFPA', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/KaTzplTG0qgaaxJSCoH4ag/9gR15Fwn7dLWW_HitNHR3WMAb3r_LuGg-G_FHcT0RP1a9ksoTpYW3urTryqhktFJIq7DFG-7fAkGetKgG2YdsXhgFiiveziVDBl8czDtYySzDxCXeALklAJRgL0kd74e_tovOWvWcEfM4naVEkAJrw/N2qwP81AQSHvhHWIdAbzsBBWpIARxKAeV0ewovnSvbA', 'width': 362, 'height': 512}}}",2023-09-20T12:13:30.000Z
Cohort 1,Reflective Learning,Report 3 - June 2023,476196.0,-854733.0,27.0,14.0,17.0,0,0,61381,0,1607,0,0,0,19264.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attAEu09myDbpGL2J', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/p74c1dswb9c3MUQNmEOgeQ/ikybwZkCnSp2Li1ohtpmaXCoEw4onwpKNti6j1HWw5Ut52JyjMsPpiDucf30UpO-D_vVscPsDkOzHa5lv6Wr6A_CJn4T-zfY0sMXfHoAAJD-CLFPt5SnP_tcgtoP_GHYxW6leJtduQbyIcU1XqAkOCKpbJ_FP_YdwyKrXMaDycc2i79RJJahTdeX3Vp0F6jt/3ksB_qj-0S3f-DIjgdLIGE7RVxkedK1r5nhCMNsvyUQ', 'filename': 'Reflective_Learning_Education - P&L Report June 23.pdf', 'size': 74628, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/PO5zyaBH1S_bP3vtXUk7Zw/sQ9n2-TbddFHwFj-xMClN6UQMBhP467ZClCQNVoyYPZMUaQ7juIMhaFCABd70Gvi8BTPRaLiGz_w7Cz9UN3OtXpXz8Bx4rC_4f3jNcFA-vXB62aGTIo6Hga1CfYgEgQUvQ2RPVm-3T-xbn_4akySfw/LFxUz-_BORxzOsCdp5NN0pp_lUENjoBym0KRzrIPt8w', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/ORdOWqohlxgi9V87A_F5iA/9-qIjLTnlc9pPN2CAJCiswKFEOjiwfUMN2Xaanc8I0wU86o2QVlEFExBY2GxyfFi2ylcCtEvq6TL3UGNwRxlPOK6sdXujI-QvnnS1HKC96O_cq2tWQk-DWBxzDUtJwhvunLSXVIt5p9O5qvh3c1rlw/C-Xd-utPaA2pvAqD4E_wdBUtbrgZzqduLpgrFeCQvqY', 'width': 362, 'height': 512}}}",2023-07-17T12:53:18.000Z
Cohort 1,Digify,Report 7 - October 2023,0.0,319698.59,6.0,4.0,1.0,0,0,114463,292363,1783,7912,0,0,5654.0,9528,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'atttMIaGxcFtetdTf', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/DudMJ7zkuEvhi7ZChe8exg/o27Gb9BvBqZJLAenl0expUX3O5hxEERtSHN7C3PpgSqZfEMlu37tzFRgAaynQyau9zChTprOKv4fFGI9NVcAscK2qnBL1TKvikKzaBhyVPD6hB6BX_QqVvsF9-8cYLBzHmK2KoKQd3WdITOj-7R9JbhBzmMjWWm8h38Fbi9fx4I/zdU-3pIZ8f8P0NCU26IsSLhp_5cJIbeJWiAcvqhsf6c', 'filename': 'Pty profit and loss October 2023.pdf', 'size': 15117, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/0KDOGYwCY8PqtsWoJ0gopQ/dFzz7xLTTB0tMDXt8DzbXoOjmTzd4BXWtl5eKtMO_st3Nj_vpHqTAqgmbLkbqEQ5HcS9MCdWWktaigyet9k1pLhXzugSh1yADhnU136nKsp5aNIkPNrp3jT3k4z24BrTCk8ME4sasY65UQGfVeyJyg/yVZ4P_W0AvTwb6a7Ee5boZr8Tjyd2f633_eY6hq_UJs', 'width': 25, 'height': 35}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/h4Ay_hU7Ww0SmVcgW5bjRA/qz_VxsGmsGSS92KrB8GLFweVzCxPr0DYJAyk_bkQqKurRCT-zoy6dYoqVjXKWXO_1uCZ3jCPrHxsQATkmWYRsIL4-l_e_2_6oUI6oweKt0zk66e_-FXVR2VnVoayOZ-BXmdJoZ01LU3VaUebyeK5qQ/Fw3sh7DjfU4-Naos-CK3yiyzJqlTh0DNCdowej5zrcs', 'width': 512, 'height': 724}}}",2023-11-23T13:30:02.000Z
Cohort 1,Click Learning,Report 7 - October 2023,18194989.0,11110007.0,62.0,42.0,39.0,872,646,226511,0,0,0,0,0,159591.0,0,0.0,0.0,21.3,0.0,0.0,0,76.0,0,76.0,0.0,,"{'id': 'attlx6REOP1LDEZJP', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/pAGG3BqzNEqbz5muwSGWFA/heXWLALAHVTTK3Hg7AarBfmLLuWV9PoT6vH9FMu3RnwG8MmCqZajnzN9UW2i7I_p0G4jo_MuE_S1nb0kqVRBfEA8BpPVa61WeiMNY8yNjSzM9nwrNQeR4_Ge2c60VlG4baU97jMhnNH2L-i-s8Ka7tDOqD-qyf-lFxadpqzItzorbBkQ7AJYrtMEBkW3IrK9MvZ25hNNbwds5MNaNrZIBhsA4-rPe0wgMJB6-Y1OXdw/1RgTgh66z6Tny-WDsl4UV9xMI-vOJOXyurlaaNzYrq0', 'filename': 'Click_Learning_-_Budget_vs_Actual_Consol_PL__external_Injini__ Oct 2023.xlsx', 'size': 11831, 'type': 'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/HAdfunFOSo6hJoNAOlzo0A/nVjZjRvg6-38x38ga1uzfh-ihgVhDzej-HfyEirLoYJzwU8FhiInpD6mtFjIQtGY0Qadn3pALHJPXScwbDtquBTOfTAkMq4NCrL_bgbnce4MyzY0WH1tAo7-cuqpKDnXTpJt5AM_aLeDxzFZF0V5Kg/1NY5bt6HX04ZQPX0Z-WuquciwVqaYwjsMur7IlefoE8', 'width': 32, 'height': 32}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/7Wh3dU3OBgGEVxWDUn9jYw/2opCwhh5vqRCINbdpYL6RjUiezUtqQjPD1QpB_fQT-M1z8rqO2CKyavGsjr2Vm0BnsNVitOcOkB10qOkHvd6Jejk4ei83mcROKbImfiEMUg_CLicmKuB3Kdzmxo0wUOFJp1hXhZ67GHB4YaXfiZAeA/JZUfpCjIMEcCI8yLilrXGcZYHneaSlQAi1QVdnQIVPw', 'width': 320, 'height': 226}}}",2023-11-20T15:09:13.000Z
Cohort 1,Ambani Africa,Report 6 - September 2023,641044.68,540719.54,7.0,5.0,5.0,1,1,12641,15,235,0,0,0,13000.0,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attXjt5KvELwgCFC6', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/2fV38Xc28b5lhEEb09FAUQ/9n2iknFKP80fxZuA87-ZHSQPjcmwkTtXECXzETUbJud4uDSukzYPelZDKXwtcetMKxTaZRTEnayKi2NWryge1b5d2-N-8JYGbxIA2j33hseCheX4IogE3Oi-r6CqSzNXO0msgi3EUVBx5gVPZTzy7MqbATXdLfbCJtdJoTl_Px0/C8n0eAMZZRjQPEfAMv49p5SUKjnAyjhBswDi5K3h29c', 'filename': 'ProfitandLoss Sept.pdf', 'size': 35222, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/Zj_lKSAMdtx3ZN-UX0G8Dw/kF6ZsIeLWd0dS4RwLFYHBHT8i8vTrPJyD0bhTItII3gseNoHeInGuya5990KGpB-TWpYK0N2pGJRsl1ZS4DtZagZGv5o5IG58Ic6Owbqh35LTjo4jAP_ffFCSjayBNjJ4gwzcvOFYjKHZ9oOpkivJw/hficBimV_0I1BiV2OKJavnDTeVMeVEtcU0mPrVG4Qi4', 'width': 25, 'height': 35}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/GuMhsfBBKsbpNYpy-gqVtQ/49AoV4EdPH86sfODRQhQjAjfNuqXMSsFouowkugHimOY9KC1xCl43SXa36MsRZNa0T6rRo6BUm5ONZ4IHo_Jg8B70irzCzqIYrNqylGBmd1MU84jPagnoR_wbgGRvMLbf6FgJa9umAUbV6Hcv5qKYQ/AIJ9zRWtmNSV7WGYACUGU9jJrCjPsjyZ7mDU74M6T2o', 'width': 512, 'height': 724}}}",2023-10-20T13:19:54.000Z
Cohort 1,Ambani Africa,Report 5 - August 2023,56578.47,-98250.52,5.0,3.0,4.0,1,1,12406,15,285,1,0,0,1500.0,15,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attlsvhJRC9pSfmC9', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/tuiPt9SyNGocM-lrTWcTTQ/jrf-4SYyvwb39XXA0Dm8UJtUxXQtAzdG_wliWmI_SHDDiOn1ywu4M7RLTGLU1ziC5D-oQyU0WxKAA4OprO03t_BohjkxOncHmwbF78stA3UKYjZvsNSLtq6R06B31m10LdN2oHWAfAze8210SRDKxmyIDNwMyZQnQC3E3MkwXPQ/ap9tMB2UJSGpvhPdNeQuqgBt_pFP-ZKgUFoQHeeqmBU', 'filename': '_Ambani Financials August 2023.pdf', 'size': 35870, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/8dc3O-IsfLWwh-krYqKADQ/DfuRnCHu5GAxTz2GqODSNDO-1QZTjuRYJLrjVCYqIIGe451_9ajkdqTCeJOwdpBzuS74duSwrQSevH-lF84K14v5rRblw4PEmr4XYdIpX_0zTeWHchY-f252y-TBuDuubdvPt2WwjE21WTRoFSmGMw/kd4D7tAoCwFqMynHiCHvutZ9zhGZF1bR5cvuLEE7SFY', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/-zg-8dBW-3vDFJlD-IVBpg/8Xnre3U36vcPBNh-wF3qPjpk62_a5t4BUR4wi1aFzZ2jE84ziVK-kgT1tSMMcYdCXZ1j8SgaSGZVbNs7cnNO31_p6l_iZZ4k_POvj-iqHl4-T3XbVGuu8O7vCxMnCge6szFjT6R9n1UgyQWVYg-ywQ/BIJ7hm-sWifypuk_EcWyq_goGvqcvOaZNFxqIwcXoUs', 'width': 362, 'height': 512}}}",2023-09-22T08:32:08.000Z
Cohort 1,Fundza,Report 4 - July 2023,0.0,240621.57,5.0,4.0,2.0,11,8,168547,0,940,0,0,0,4543.0,0,0.0,0.0,50.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attDe3U9ef6mJMhwT', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/3Qw68hRX_dL9eyGJElHbBw/CAf6iyq7yPzKmbU3QWjRjpWa6_QQMWFARre9kW7saFkh1vOjKYHUb3yZkDoRdoTIj3VlXEzma0sn2CdNagbI4nnOMegBifadAuz2DtsIDDKlK2Pl49HVc5-GOQz1MQYJHKgMTMO9gI4NNuQBft23oOT2eYy8iMKN9L7MABF8WenlHwnBvrttdL1mThvqaZy2/JtU3UTdsoyVpgdhSrOC36dMPCFHWf331P44dvjQAYOo', 'filename': 'The_Fundza_Literacy_Trust_-_Profit_and_Loss.pdf', 'size': 22728, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/cQgWVuCvp2WK6_rZUJN8qA/IZK-PF7SaLFpVzR-GWBFxg81Rhqhad_wMc-fDaQEAUWnkDvHDBoY5gNy_P1rqG8c42H5jOiYqeamavnMg_wya5P79tElMyG_jkIasbo8xCHoC3FJApGgn5iLvr05OWuP6JdbAlrxMmUeqhfua3bz-A/FcqoPw2zx8jTSIcwzd3Cm6BWUzRUGR7WolN0AGnar_Q', 'width': 25, 'height': 36}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/B9icQa-DK-_AJ5tZ-aOzeg/9nFoqBZs0FSvpvJlFOsd4DC1z3iYEMhiMvG4LEd2DfGVVSNJcKMNi-5aJG6NfDd4EKcoTu8Xn_1ZMIfTgZktVPwGTXzcd4XQ4fgQt1qyYfNdfY6akW0svpRSjocjRQcMRme2ft4Yki62U_u7IzhFig/qDR5mN-8I8pbWIN7oOPAPfPjwBCnMe58kFpppHOsQ_Y', 'width': 362, 'height': 512}}}",2023-08-17T09:07:43.000Z
Cohort 1,Code4Kids,Report 7 - October 2023,144307.0,-151664.0,10.0,5.0,6.0,0,0,12069,86,0,0,0,0,7153.0,86,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attrcUS705bET2Uf2', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/qMNa1frTTUu6SuUl3b22ug/BoaZduaB6iW5rpy_VKmLZFDUvuJ1doHFaq1KAXEq4PhYp1_D5vVOho-g3QTd5ubmF2NPp0AZ8T8mVe0YbicE3UdZkp6xNz0ul8mxepQ3zBdglJVbhuadDyeICsxt5bBm51nOF4xfSGIyjFgSd4XDadqQSjos6lcyFgQQ6ggqbek/vtTvDUMLvmGmRoE7khELS_zCNWw9vWRT72aN-5Y-BZg', 'filename': 'Injini Reporting - IS (4).pdf', 'size': 49679, 'type': 'application/pdf', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/vJ5WpnMoyJUxzZBwxCTy_A/FUtgPGycccgyRwVSlmvLdwn5tC78zN1bOH-vYqi5A-orj87A2Y8QP4aHDN4zumWpXPoSiHE3O9xjGfjpgHqoZzWImJasNML3FVipTk9Ku7qLFxQ-8BCRBrMAsUWf3soPdT4a734bcECNLPpD-VLM3A/qERPborT5k6C4Y_gYBiGKuIpTaZfzduGUp_AchMbCZk', 'width': 25, 'height': 35}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/2rZe8VP9J0e5mv56zDBAOw/BQUV6-3yu0I50GwytBgJhsID3iIIIyju5P7KIKCZ8Y2v8nMMeD1xKVyw2K3rSC-xZzr6K7IBYR6IC02VWzL4oYXS19a0_XKlsYDrVv0ycam_9x6Ga5u_xZbciG9BWdTCWdxeozO6QQT_rHm8gibkrQ/JmnGoygHw5icW73PxVyDTkkBJAqRucLI_9hXtk3wRms', 'width': 512, 'height': 725}}}",2023-11-17T16:45:48.000Z
Cohort 1,Afrika Tikkun Bambanani,Report 6 - September 2023,852172.0,0.0,20.0,19.0,17.0,15,15,8985,1622,0,0,0,0,8985.0,1622,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,,"{'id': 'attYr2SC7vuMhPscN', 'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/ZcpOMFQYCETlDC09vo2vYg/dRUUuf2vBvO9W47ueG9GWiyAue5VBxcwd951SYR7lXCd5smc_6tr9U60FlRfGFTkTAJWn_oxjZiTejjm2rXBAM8p50Wp379m0hZf5Rx1TdK4oukPq9ZbfL86hRMRv2JugZvMP0BVI3zFgIx3DN4mzHsCF1rbK8xQ9QAjouF0oBUJeBdMppge4NttjFwqyllcGCTooQUSuOnBKhio92pAog/nZZ7hlWS6KszMY8KfoLTMosfwE_QqOc5soD2wyhLEGI', 'filename': 'Afrika Tikkun Bambanani Management Pack - September 2023 v2.xlsx', 'size': 248644, 'type': 'application/vnd.openxmlformats-officedocument.spreadsheetml.sheet', 'thumbnails': {'small': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/A3n6EFGsU0ILLP6Tfxr5Yg/Nmhv6tDAK3xL3ByZBrWBnsY7iwtiNJOWU6iiK8JFPbfJf9Icz0oQ4KWRxqfcWhsRQS2CvnqXYz9Icd_0zn0B5JRviisizLW08z9nSDvePE2MUeNlTwqB_k-cFPCOuhuvFsqQx26KttKTgeOlCHu3Dw/4_BW5M9Hkp2kyrv9V4H-PBoEb81cNV_SM9BIoyzvEZY', 'width': 32, 'height': 32}, 'large': {'url': 'https://v5.airtableusercontent.com/v3/u/52/52/1777636800000/jb5ZJImdoLbzgnz_Aw_W_g/_w1arSlHQ-xu_AYqD80zVPUBduVylwpTmnGbWexhnstoMblCsiujYEaKKtNEvbEaAepQJwWDo68CM_Uwa8Qgkjzi-1wSItvJVnl6yRlimyGCwh0jEuhCUO6mLBIfbfyhUTl9-n6h15uSjjJiOhHCUg/HyPPKFOuKfxyCOmjS3qBoizdtYNFixwvbzdlvBEX7X8', 'width': 320, 'height': 226}}}",2023-10-17T17:45:19.000Z
